,A1,A2,A3,A4,A5,A6,A7,P1,P2,P3,P4,P5,P6,P7
91,147.37,147.29,147.22,147.15,147.08,147.01,146.94,145.184,145.16153,145.15808,145.28226,145.39268,145.35306,145.26021
92,147.29,147.22,147.15,147.08,147.01,146.94,146.87,145.08846,145.01662,145.00388,145.16733,145.36647,145.4539,145.39944
93,147.22,147.15,147.08,147.01,146.94,146.87,146.78,145.1684,144.98405,144.90587,145.14397,145.5164,145.97894,146.26074
94,147.15,147.08,147.01,146.94,146.87,146.78,146.69,144.99013,144.80501,144.78632,145.09084,145.45839,145.86914,146.11574
95,147.08,147.01,146.94,146.87,146.78,146.69,146.6,145.0448,144.81844,144.87753,145.23921,145.67807,146.11618,146.42284
96,147.01,146.94,146.87,146.78,146.69,146.6,146.51,144.8884,144.70528,144.7551,145.10582,145.56595,145.98198,146.25328
97,146.94,146.87,146.78,146.69,146.6,146.51,146.42,144.79375,144.68214,144.66563,144.93428,145.31474,145.61255,145.72801
98,146.87,146.78,146.69,146.6,146.51,146.42,146.34,144.55988,144.4353,144.44267,144.69122,145.10907,145.52171,145.73265
99,146.78,146.69,146.6,146.51,146.42,146.34,146.27,144.3792,144.21194,144.22188,144.46475,144.88736,145.35255,145.61954
100,146.69,146.6,146.51,146.42,146.34,146.27,146.2,144.00916,143.86586,143.89409,144.00958,144.33522,144.79065,145.07468
101,146.6,146.51,146.42,146.34,146.27,146.2,146.13,143.82384,143.70758,143.75276,143.85568,144.16812,144.59229,144.8548
102,146.51,146.42,146.34,146.27,146.2,146.13,146.05,143.69878,143.60284,143.68965,143.82292,144.1381,144.55017,144.82083
103,146.42,146.34,146.27,146.2,146.13,146.05,145.97000000000003,143.51813,143.35794,143.45985,143.65439,144.08179,144.65546,145.05214
104,146.34,146.27,146.2,146.13,146.05,145.97000000000003,145.89,143.48099,143.33246,143.43558,143.6111,144.00563,144.54468,144.92834
105,146.27,146.2,146.13,146.05,145.97000000000003,145.89,145.83,143.35553,143.2393,143.34229,143.48058,143.82597,144.30945,144.63974
106,146.2,146.13,146.05,145.97000000000003,145.89,145.83,145.76,143.40565,143.29404,143.30032,143.36641,143.6299,144.06737,144.31892
107,146.13,146.05,145.97000000000003,145.89,145.83,145.76,145.68,143.24031,143.13802,143.15974,143.20667,143.4336,143.8201,144.05536
108,146.05,145.97000000000003,145.89,145.83,145.76,145.68,145.6,143.10942,142.87122,142.93513,143.04372,143.37834,143.87135,144.24097
109,145.97000000000003,145.89,145.83,145.76,145.68,145.6,145.52,142.97185,142.7213,142.75343,142.82138,143.17041,143.65524,144.03194
110,145.89,145.83,145.76,145.68,145.6,145.52,145.44,142.90044,142.76282,142.84953,142.93596,143.35188,143.89421,144.24278
111,145.83,145.76,145.68,145.6,145.52,145.44,145.36,142.80923,142.69254,142.80124,142.88359,143.26654,143.75793,144.08415
112,145.76,145.68,145.6,145.52,145.44,145.36,145.28,142.73961,142.70349,142.866,142.98888,143.34311,143.76105,144.098
113,145.68,145.6,145.52,145.44,145.36,145.28,145.2,142.72017,142.64923,142.73602,142.79509,143.05095,143.39977,143.67819
114,145.6,145.52,145.44,145.36,145.28,145.2,145.14,142.61542,142.53865,142.5746,142.61427,142.93245,143.39108,143.69559
115,145.52,145.44,145.36,145.28,145.2,145.14,145.07,142.56548,142.35951,142.43124,142.51923,142.95415,143.54015,143.97014
116,145.44,145.36,145.28,145.2,145.14,145.07,145.00000000000003,142.41284,142.16261,142.25237,142.36203,142.82422,143.451,143.92447
117,145.36,145.28,145.2,145.14,145.07,145.00000000000003,144.93,142.32738,142.22278,142.33243,142.36276,142.70999,143.16042,143.4928
118,145.28,145.2,145.14,145.07,145.00000000000003,144.93,144.86,142.23254,142.07579,142.22008,142.3094,142.74347,143.27623,143.72112
119,145.2,145.14,145.07,145.00000000000003,144.93,144.86,144.8,142.18372,142.0408,142.12753,142.25769,142.81932,143.44563,143.94336
120,145.14,145.07,145.00000000000003,144.93,144.86,144.8,144.73,142.09082,141.98065,142.08197,142.21313,142.74933,143.35962,143.8199
121,145.07,145.00000000000003,144.93,144.86,144.8,144.73,144.66,141.99358,141.8833,141.9773,142.0361,142.45251,143.0071,143.40962
122,145.00000000000003,144.93,144.86,144.8,144.73,144.66,144.6,141.97183,141.84074,141.93608,141.99237,142.38893,142.92746,143.34236
123,144.93,144.86,144.8,144.73,144.66,144.6,144.53,141.88666,141.77116,141.88661,141.95026,142.27246,142.72493,143.08766
124,144.86,144.8,144.73,144.66,144.6,144.53,144.47,141.76888,141.63522,141.71954,141.77777,142.1205,142.5842,142.94836
125,144.8,144.73,144.66,144.6,144.53,144.47,144.4,141.77306,141.58136,141.7363,141.88042,142.33844,142.9414,143.45917
126,144.73,144.66,144.6,144.53,144.47,144.4,144.33,141.70671,141.5089,141.64862,141.80855,142.32478,142.97179,143.50468
127,144.66,144.6,144.53,144.47,144.4,144.33,144.26,141.5219,141.37646,141.48163,141.53795,141.96793,142.50723,142.91974
128,144.6,144.53,144.47,144.4,144.33,144.26,144.19,141.45747,141.34071,141.44487,141.51259,141.95192,142.47372,142.88113
129,144.53,144.47,144.4,144.33,144.26,144.19,144.1,141.40425,141.28629,141.42068,141.51942,141.98003,142.51357,142.93758
130,144.47,144.4,144.33,144.26,144.19,144.1,144.02999999999997,141.35332,141.22331,141.33922,141.42009,141.93024,142.49883,142.96017
131,144.4,144.33,144.26,144.19,144.1,144.02999999999997,143.96,141.25296,141.13963,141.25978,141.34915,141.87177,142.4712,142.93907
132,144.33,144.26,144.19,144.1,144.02999999999997,143.96,143.89,141.20294,141.12442,141.2678,141.2499,141.63602,142.11569,142.49876
133,144.26,144.19,144.1,144.02999999999997,143.96,143.89,143.82,141.12794,141.04688,141.1748,141.22198,141.73419,142.32968,142.75627
134,144.19,144.1,144.02999999999997,143.96,143.89,143.82,143.75,141.00278,140.87268,140.99223,141.10376,141.60774,142.2117,142.66911
135,144.1,144.02999999999997,143.96,143.89,143.82,143.75,143.67,140.93822,140.82047,140.93161,140.93654,141.3378,141.86942,142.27672
136,144.02999999999997,143.96,143.89,143.82,143.75,143.67,143.6,140.93196,140.66788,140.83574,140.9522,141.58429,142.38063,142.99628
137,143.96,143.89,143.82,143.75,143.67,143.6,143.53,140.7146,140.47066,140.64233,140.70967,141.25139,141.94763,142.5207
138,143.89,143.82,143.75,143.67,143.6,143.53,143.45,140.66362,140.60526,140.80968,140.78778,141.09161,141.49985,141.87498
139,143.82,143.75,143.67,143.6,143.53,143.45,143.36,140.66438,140.46219,140.6436,140.80893,141.36238,142.0492,142.62834
140,143.75,143.67,143.6,143.53,143.45,143.36,143.28,140.66725,140.43779,140.54161,140.6218,141.14027,141.80743,142.36168
